jd,RA,Decl,magsky
2456032.84,249.449125,-0.55141667,21.8399470608
2456034.83,249.449125,-0.55141667,22.4445327914
2456036.82,249.449125,-0.55141667,22.2480783648
2455960.88,249.449125,-0.55141667,21.6838006734
2456012.8,266.02825,-0.41605556,22.5041867018
2456012.8,266.05108333,-0.34241667,22.639261822
2456023.86,266.333125,-0.431,19.1836078112
2456023.86,266.426875,-0.35983333,19.2039539781
2456024.83,266.333125,-0.431,18.8053184065
2456024.83,266.426875,-0.35983333,18.8209239982
2456032.85,266.333125,-0.431,21.6048278126
2456032.85,266.426875,-0.35983333,21.7782434458
2456034.86,266.333125,-0.431,22.225508493
2456034.86,266.426875,-0.35983333,22.5049063606
2456036.86,266.333125,-0.431,22.2064764819
2456036.86,266.426875,-0.35983333,22.5861299379
2456048.85,266.333125,-0.431,22.1766133802
2456048.85,266.426875,-0.35983333,22.4344468079
2456058.87,266.333125,-0.431,20.3058529886
2456058.87,266.426875,-0.35983333,20.2949877487
2455865.51,280.747125,0.51927778,20.9325705157
2455865.51,280.7605,0.51586111,20.9445084075
2455865.51,280.78195833,0.46716667,20.9260602988
2455865.51,280.79216667,0.46186111,20.9373300239
2455865.51,280.798875,0.50141667,20.9272411157
2455865.51,280.79879167,0.49538889,20.9184162452
2455865.51,280.82891667,0.50766667,20.9190023511
2455865.51,280.82975,0.49072222,20.9349476618
2455999.86,280.747125,0.51927778,19.7837193637
2455999.86,280.7605,0.51586111,19.7812278294
2455999.86,280.78195833,0.46716667,19.787353627
2455999.86,280.79216667,0.46186111,19.7875812217
2455999.86,280.798875,0.50141667,19.7839461977
2455999.86,280.79879167,0.49538889,19.7785163362
2455999.86,280.82891667,0.50766667,19.7787420857
2455999.86,280.82975,0.49072222,19.7923707182
2456008.88,280.747125,0.51927778,22.3526926816
2456008.88,280.7605,0.51586111,22.3503142337
2456008.88,280.78195833,0.46716667,22.3314723702
2456008.88,280.79216667,0.46186111,22.4088850529
2456008.88,280.798875,0.50141667,22.2947420966
2456008.88,280.79879167,0.49538889,22.2548534604
2456008.88,280.82891667,0.50766667,22.2205866819
2456008.88,280.82975,0.49072222,22.3890083385
2456010.83,280.747125,0.51927778,22.4324952169
2456010.83,280.7605,0.51586111,22.4324952169
2456010.83,280.78195833,0.46716667,22.3926472534
2456010.83,280.79216667,0.46186111,22.4503994432
2456010.83,280.798875,0.50141667,22.3877675366
2456010.83,280.79879167,0.49538889,22.3732586102
2456010.83,280.82891667,0.50766667,22.4299614718
2456010.83,280.82975,0.49072222,22.5005395651
2456016.82,280.747125,0.51927778,22.1037639334
2456016.82,280.7605,0.51586111,22.1291738844
2456016.82,280.78195833,0.46716667,22.1193302959
2456016.82,280.79216667,0.46186111,22.1777064417
2456016.82,280.798875,0.50141667,22.0922338938
2456016.82,280.79879167,0.49538889,22.0903240234
2456016.82,280.82891667,0.50766667,22.06766438
2456016.82,280.82975,0.49072222,22.1411051606
2456017.85,280.747125,0.51927778,22.295859328
2456017.85,280.7605,0.51586111,22.3549616626
2456017.85,280.78195833,0.46716667,22.295859328
2456017.85,280.79216667,0.46186111,22.3779817067
2456017.85,280.798875,0.50141667,22.295859328
2456017.85,280.79879167,0.49538889,22.272152379
2456017.85,280.82891667,0.50766667,22.2910763462
2456017.85,280.82975,0.49072222,22.3651325582
2456018.91,280.747125,0.51927778,21.9941431214
2456018.91,280.7605,0.51586111,21.9998425317
2456018.91,280.78195833,0.46716667,21.9605609393
2456018.91,280.79216667,0.46186111,21.9969890868
2456018.91,280.798875,0.50141667,21.9941431214
2456018.91,280.79879167,0.49538889,21.9605609393
2456018.91,280.82891667,0.50766667,21.9523252349
2456018.91,280.82975,0.49072222,22.0645939662
2456019.9,280.747125,0.51927778,22.206624573
2456019.9,280.7605,0.51586111,22.2360273231
2456019.9,280.78195833,0.46716667,22.1820407418
2456019.9,280.79216667,0.46186111,22.3063829538
2456019.9,280.798875,0.50141667,22.2531934543
2456019.9,280.79879167,0.49538889,22.2360273231
2456019.9,280.82891667,0.50766667,22.343347831
2456019.9,280.82975,0.49072222,22.3200977947
2456058.81,280.7605,0.51586111,20.2057374328
2456058.81,280.78195833,0.46716667,20.2003939085
2456058.81,280.79216667,0.46186111,20.2131280335
2456058.81,280.798875,0.50141667,20.1967354077
2456058.81,280.79879167,0.49538889,20.1977320394
2456058.81,280.82891667,0.50766667,20.1871489706
2456058.81,280.82975,0.49072222,20.2094264447
2456048.88,310.56079167,0.15002778,22.3021786033
2456048.88,310.61,0.12858333,22.5602272639
2456048.88,310.64766667,0.12238889,22.3303811031
2456058.79,310.69483333,0.26897222,19.6180770215
2456058.79,310.72875,0.25052778,19.6165193322
2455864.63,340.35891667,1.17002778,22.33272843
2455864.63,340.39620833,1.18633333,22.4174901169
2455865.53,340.35891667,1.17002778,21.9062577595
2455865.53,340.39620833,1.18633333,21.9477937491
2455865.53,340.436375,1.21027778,21.8803714563
2456058.86,340.35891667,1.17002778,19.9628599121
2456058.86,340.39620833,1.18633333,19.9658084794
2456058.86,340.436375,1.21027778,19.9593856267
2456223.55,340.35891667,1.17002778,20.2772535581
2456223.55,340.39620833,1.18633333,20.2772535581
2456223.55,340.436375,1.21027778,20.2776262805
2456231.58,340.35891667,1.17002778,19.5016234084
2456231.58,340.39620833,1.18633333,19.5072731017
