,jd,RA,Decl,magsky
145,2455889.67,73.24525,-0.24480556,22.5271894948
146,2455894.74,73.24525,-0.24480556,22.587412055
147,2455948.67,73.24525,-0.24480556,22.6387734671
148,2455949.67,73.24525,-0.24480556,22.9535198765
149,2455962.68,73.24525,-0.24480556,18.8745738298
150,2455971.64,73.24525,-0.24480556,22.4628782233
151,2455992.52,73.24525,-0.24480556,19.429630262
152,2455998.59,73.24525,-0.24480556,19.949908103
153,2456008.55,73.24525,-0.24480556,22.4828920686
154,2456222.81,73.24525,-0.24480556,22.5780216592
155,2456223.74,73.24525,-0.24480556,21.6153438001
156,2456230.81,73.24525,-0.24480556,18.5905396236
157,2456232.79,73.24525,-0.24480556,18.9825492697
158,2456234.8,73.24525,-0.24480556,19.6298971747
159,2455865.86,102.970875,-0.36694444,22.5173761127
160,2455865.86,103.00783333,-0.45597222,22.000311413
161,2455865.86,103.01404167,-0.45508333,22.1139560714
162,2455865.86,103.02004167,-0.36541667,22.4541115081
163,2455865.86,103.04141667,-0.39219444,22.596168733
164,2455865.86,103.078625,-0.39241667,23.001926202
165,2455869.86,102.970875,-0.36694444,22.150528838
166,2455869.86,103.00783333,-0.45597222,21.7874921316
167,2455869.86,103.01404167,-0.45508333,21.8461948863
168,2455869.86,103.02004167,-0.36541667,22.1747469829
169,2455869.86,103.04141667,-0.39219444,22.2596133249
170,2455869.86,103.078625,-0.39241667,22.3232311785
171,2455871.81,102.970875,-0.36694444,22.5362880127
172,2455871.81,103.00783333,-0.45597222,22.0851478621
173,2455871.81,103.01404167,-0.45508333,22.183574588
174,2455871.81,103.02004167,-0.36541667,22.5038756006
175,2455871.81,103.04141667,-0.39219444,22.6159064216
176,2455871.81,103.078625,-0.39241667,22.9765161277
177,2455872.81,102.970875,-0.36694444,21.4299695085
178,2455872.81,102.995875,-0.35877778,21.4955433535
179,2455872.81,103.00783333,-0.45597222,21.2013014184
180,2455872.81,103.01404167,-0.45508333,21.2406677312
181,2455872.81,103.02004167,-0.36541667,21.4181034323
182,2455872.81,103.04141667,-0.39219444,21.4581720071
183,2455872.81,103.078625,-0.39241667,21.4997762447
184,2455878.77,102.970875,-0.36694444,19.1703274617
185,2455878.77,102.995875,-0.35877778,19.1657750942
186,2455878.77,103.00783333,-0.45597222,19.1502392813
187,2455878.77,103.01404167,-0.45508333,19.1592330213
188,2455878.77,103.02004167,-0.36541667,19.1677960554
189,2455878.77,103.04141667,-0.39219444,19.1810245073
190,2455878.77,103.078625,-0.39241667,19.1964910576
191,2455889.69,103.00783333,-0.45597222,22.1323282728
192,2455889.69,103.01404167,-0.45508333,22.2631009963
193,2455889.69,103.04141667,-0.39219444,22.6691298826
194,2455889.69,103.078625,-0.39241667,22.6946778475
195,2455890.76,102.970875,-0.36694444,22.4228165244
196,2455890.76,103.00783333,-0.45597222,21.880325968
197,2455890.76,103.01404167,-0.45508333,21.9238856561
198,2455890.76,103.02004167,-0.36541667,22.4028942199
199,2455890.76,103.04141667,-0.39219444,22.5394465886
